NE|Ack|Source|Severity|RaisedTime|ClearedTime|ServiceImpairment|TroubleCauseCorrelation|Description|Duration|AID
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Critical|2025-06-02 12:58:26 CEST|alarm still active|SA|PRM|Equipment Removed|19m 23s|MOD-3-2
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Critical|2025-06-02 12:58:26 CEST|alarm still active|SA|PRM|Equipment Removed|19m 23s|MOD-3-6
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Warning|2025-06-02 12:55:27 CEST|alarm still active|NSA|PRM|FWP-Mismatch (SA)|22m 22s|MOD-3-21
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Warning|2025-06-02 12:55:26 CEST|alarm still active|NSA|PRM|FWP-Mismatch (SA)|22m 23s|FCU-3
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Warning|2025-06-02 12:49:23 CEST|alarm still active|NSA|PRM|OOS State Transition|28m 26s|TNL-WDM: Service 1 of 123
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Minor|2025-05-28 17:52:38 CEST|2025-06-02 12:49:12 CEST|NSA|PRM|NTP-Setup Required|4d 18h 56m 33s|NE
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Major|2025-05-28 17:52:38 CEST|2025-06-02 12:49:12 CEST|NSA|PRM|NTP-No Synchronization|4d 18h 56m 34s|NTPSRV-NTP-1339
//Network/N220-N228/N220|false|N220 (10.12.17.220)|Critical|2025-05-28 17:52:10 CEST|2025-06-02 12:55:25 CEST|SA|PRM|Equipment Removed|4d 19h 3m 15s|SHELF-3
//Network/N220-N228/N221|false|N221 (10.12.17.221)|Critical|2025-06-02 12:58:41 CEST|alarm still active|SA|PRM|Equipment Removed|19m 8s|MOD-2-1
//Network/N220-N228/N221|false|N221 (10.12.17.221)|Minor|2018-01-01 01:02:43 CET|2025-06-02 12:49:26 CEST|NSA|PRM|NTP-Setup Required|90m 1w 2d 10h 46m 42s|NE
//Network/N220-N228/N221|false|N221 (10.12.17.221)|Major|2018-01-01 01:02:43 CET|2025-06-02 12:49:26 CEST|NSA|PRM|NTP-No Synchronization|90m 1w 2d 10h 46m 43s|NTPSRV-NTP-1339
//Network/N220-N228/N221|false|N221 (10.12.17.221)|Major|2018-01-01 01:02:21 CET|alarm still active|SA|PRM|Loss of Signal|28m 45s|SC-1-18-N-OSC
