Subnet|NE|ProductType|NEMI_SW_Version|ModuleName|ModuleType|OrderInfo|Channel|Protection|Name|Clock|InstalledAt|HWRevision|FWRevision|SWRevision|SerialNumber|Assignment|ServiceName|CustomField|CustomSubnetField|Location|Rack|Shelf|ShelfHWRevision|ShelfSerialNumber|ShelfModuleName|ShelfModuleType|ShelfName|ShelfInstalledAt|ShelfAssignment|ShelfOrderInfo|AdminState|OperState|SecondaryState|UserText|UserDescr|IdentificationKey|IdentificationValue|ProvisionedModuleType|EquippedModuleType|SI2_ShelfIndex|SI3_SlotIndex|SI4_SubSlotIndex|Alias|NELocation|CountryOfOrigin|VendorCode|CLEI_Code|UniqueSerialIdentifier
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|MOD-1-FCU-I1|96CSM/4HU-#19600-#19125|1078708798-01||N/A||N/A|2025-05-28 12:58:30 CEST|1.01|N/A|N/A|FA72192705537|Free||||101-1|0|PSH-1-FCU-I1|1.01|FA72192705537|PSH-1-FCU-I1|96CSM/4HU-#D|96CSM/4HU-#19600-#19125|2025-05-28 12:58:30 CEST|Free|1078708798-01|In Service|Normal|N/A|||IP Address|10.12.17.220|96CSM/4HU-#D|96CSM/4HU-#19600-#19125|101|1||||RO|||LBADVA72192705537
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1||||||||||||||||||0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121||||||IP Address|10.12.17.220|||1|||||CN|||
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|FAN-1-1|FAN/9HU|1042700011||N/A||N/A|2025-05-28 12:58:30 CEST|2.00|N/A|N/A|FA71142501092|Free||||1-31|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|FAN/9HU|FAN/9HU|1|31||||CN|||LBADVA71142501092
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|FAN-1-2|FAN/9HU|1042700011||N/A||N/A|2025-05-28 12:58:30 CEST|2.00|N/A|N/A|FA71142501090|Free||||1-32|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|FAN/9HU|FAN/9HU|1|32||||CN|||LBADVA71142501090
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|FAN-1-3|FAN/9HU|1042700011||N/A||N/A|2025-05-28 12:58:30 CEST|2.00|N/A|N/A|FA71142501104|Free||||1-33|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|FAN/9HU|FAN/9HU|1|33||||CN|||LBADVA71142501104
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|FCU-1|CEM/9HU|1063708416||N/A||N/A|2025-05-28 12:58:30 CEST|2.00|215.0.1|N/A|FA71142700291|Free||||1-FCU-1|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|CEM/9HU|CEM/9HU|1|FCU-1||||CN|||LBADVA71142700291
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|MOD-1-1|PSU/9HU-AC|1040700042-01||N/A||N/A|2025-05-28 12:58:30 CEST|1.02|215.1.0|N/A|FA26170200095|Free||||1-1|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|PSU/9HU-AC|PSU/9HU-AC|1|1||||DE|||LBADVA26170200095
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|MOD-1-3|OSCM-PN|1063708463-03||N/A||N/A|2025-05-28 12:58:30 CEST|3.01|215.0.10|N/A|FA72194000094|Free||||1-3|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|OSCM-PN|OSCM-PN|1|3||||RO|||LBADVA72194000094
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|MOD-1-4|4ROADM-C96/0/OPM|1063708327-02||N/A||N/A|2025-05-28 12:58:30 CEST|2.01|225.2.0|N/A|FA72242502706|Free||||1-4|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|4ROADM-C96/0/OPM|4ROADM-C96/0/OPM|1|4||||RO|||LBADVA72242502706
N220-N228|N220 (10.12.17.220)|FSP 3000R7|23.5.1|MOD-1-6|EDFA-C-D20-VLGC-DM|1063709052||N/A||N/A|2025-05-28 12:58:30 CEST|2.01|235.3.2|N/A|FA73221620029|Free||||1-6|0|SHELF-1|2.01|FA71192852672|SHELF-1|SH9HU|SH9HU|2025-05-28 12:58:30 CEST|Assigned|1078700121|In Service|Normal|N/A|||IP Address|10.12.17.220|EDFA-DGCV|EDFA-C-D20-VLGC-DM|1|6||||CN|||LBADVA73221620029
